id,gold_answer,model_extracted,question
2,"['143.224229233795', '2.32624773420025']","['143', '2.33']","A roasted turkey is taken from an oven when its temperature has reached 185 Fahrenheit and is placed on a table in a room where the temperature is 75 Fahrenheit.
(a) If the temperature of the turkey is 155 Fahrenheit after half an hour, what is its temperature after 45 minutes? Your answer is [ANS] Fahrenheit. (b) When will the trukey cool to 100 Fahrenheit? Your answer is [ANS] hours."
5,"['62.7777777777778', '335.927777777778', '604.67']","['62.78', '335.93', '604.67']","An unscented beeswax candle melts at 145 $^\circ$ F. What is the temperature in degrees Celsius? [ANS]
degrees Kelvin? [ANS]
degrees Rankine? [ANS]"
8,['(1/2)^[(1999-1963)/31]'],['0.447'],"In the early 1960s, radioactive strontium-90 was released during atmospheric testing of nuclear weapons and got into the bones of people alive at the time. If the half-life of strontium-90 is 31 years, what fraction of the strontium-90 absorbed in 1963 remained in people's bones in 1999? fraction=[ANS]
(Enter your answer as a decimal or fraction.) (Enter your answer as a decimal or fraction.)"
12,"['380', '315', '13', '310']","['380', '315', '14', '310']","The population of deer in a forest can be modeled by
${P(x)={\frac{2480x+2660}{8x+7}}}$ where $x$ is the number of years in the future. Answer the following questions. 1) How many deer live in this forest this year? [ANS]
2) How many deer will live in this forest $12$ years later? Round your answer to an integer. [ANS]
3) After how many years, the deer population will be $314$? Round your answer to an integer. [ANS]
4) Use a calculator to answer this question: Many years in the future, about how many deer will live in this forest? [ANS]"
15,"['B', 'C', 'A']","['B', 'C', 'A']","For each problem, select the best response.
(a) The length of human pregnancies from conception to birth varies according to a distribution that is approximately Normal with mean 266 days and standard deviation 16 days. The probability that the average pregnancy length for 6 randomly chosen women exceeds 270 days is about [ANS] A. 0.07  B. 0.27  C. 0.4  D. None of the above.
(b) Scores on the mathematics part of the SAT exam in a recent year were roughly Normal with mean 559 and standard deviation 106. You choose an SRS of 100 students and average their SAT math scores. If you do this many times, with a sample of size 100 each time, the standard deviation of the average scores will get close to [ANS] A. 106  B. 1.06  C. 10.6  D. None of the above.
(c) A newborn baby has extremely low birth weight (ELBW) if it weighs less than 1000 grams. A study of the health of such children in later years examined a random sample of 219 children. Their mean weight at birth was $\bar {x}=$ 810 grams. This sample mean is an unbiased estimator of the mean weight $\mu$ in the population of all ELBW babies. This means that [ANS] A. the average sample mean $\bar {x}$, over all possible samples, is equal to $\mu$.  B. the sample mean $\bar {x}$ will have a distribution that is close to Normal.  C. the sample mean $\bar {x}$ is always equal to $\mu$.  D. None of the above."
16,"['atan(4.76)', 'pi']",['1.361 + n\\pi'],Determine all solutions for $\tan(\theta)=4.76$ $\theta=$ [ANS]+[ANS] $n$ where $n$ is any integer and where the value in each first blank lies between $-\pi/2$ and $\pi/2$. Use radian measure and enter your answers using at least four significant digits. Use radian measure and enter your answers using at least four significant digits.
20,"['-10', '100', '-9', '81', '1', '1', '3', '9', '7', '49', '8', '64', '304', '60.8', '7.79743547584717']",['7.797'],"Use the table below to find the standard deviation of the following data set: Use at least three decimal places of accuracy at each step. Use at least three decimal places of accuracy at each step.
22, 23, 33, 35, 39, 40
$\begin{array}{ccc}\hline X & X-\bar{x} & \left(X-\bar{x}\right)^2 \\ \hline 22 & [ANS] & [ANS] \\ \hline 23 & [ANS] & [ANS] \\ \hline 33 & [ANS] & [ANS] \\ \hline 35 & [ANS] & [ANS] \\ \hline 39 & [ANS] & [ANS] \\ \hline 40 & [ANS] & [ANS] \\ \hline & & \\ \hline & SUM & [ANS] \\ \hline & \frac{SUM}{N-1} & [ANS] \\ \hline & \sqrt{\frac{SUM}{N-1}} & [ANS] \\ \hline \end{array}$"
21,"['3*t^1*(1-t)^2', '6*t^2*(1-t)^2', '10*t^3*(1-t)^2', '7*t^6*(1-t)^1', '70*t^4*(1-t)^4']","['3 t (1 - t)^2', '6 t^2 (1 - t)^2', '10 t^3 (1 - t)^2', '7 t^6 (1 - t)', '70 t^4 (1 - t)^4']","Write the formula for the 1st Bernstein polynomial of degree 3. For all parts, express your answer in the variable $t$. Answer: [ANS]
Write the formula for the 2nd Bernstein polynomial of degree 4. Answer: [ANS]
Write the formula for the 3rd Bernstein polynomial of degree 5. Answer: [ANS]
Write the formula for the 6th Bernstein polynomial of degree 7. Answer: [ANS]
Write the formula for the 4th Bernstein polynomial of degree 8. Answer: [ANS]"
22,"['1.6', '1.76', '0.16*p/16', 'up', '1', '0.16']","['1.60, 1.76, 0.16 \\times \\left\\lceil \\frac{p}{16} \\right\\rceil, up, 16, 0.16']","Many printing presses are designed with large plates that print a fixed number of pages as a unit. Each unit is called a signature. A particular press prints signatures of 16 pages each. Suppose $C(p)$ is the cost of printing a book of $p$ pages, assuming each signature printed costs \$0.16.
(a) What is the cost of printing a book of 160 pages? \$ [ANS]
What if there are 161 pages? \$ [ANS]
What if there are $p$ pages? $C(p)=$ \$ [ANS] where the cost is rounded (up/down) [ANS] for the next signature. (b) What are the domain and range of $C(p)$? Domain: all nonnegative integer multiples of (1 through 16) [ANS] Range:   all nonnegative integer multiples of (0.01 through 0.20) [ANS] (c) On a piece of paper, sketch a graph of $C(p)$."
25,"['18.8105', '11.3449', 'Yes']","['18.81, 11.34, Yes']","A student wants to see if the correct answers to multiple choice problems are evenly distributed. She heard a rumor that if you don't know the answer, you should always pick C. pick C. In a sample of 95 multiple-choice questions from prior tests and quizzes, the distribution of correct answers are given in the table below. In all of these questions, there were four options {A, B, C, D}.
$\begin{array}{ccccc}\hline & Correct Answers (n=95) \\ \hline & A & B & C & D \\ \hline Count & 33 & 35 & 17 & 10 \\ \hline \end{array}$ 10 Test the claim that correct answers for all multiple-choice questions are not evenly distributed. Test this claim at the 0.01 significance level.
(a) Find the test statistic. [ANS]
(b) Find the critical value. [ANS]
(c) Is there sufficient data to support the claim? [ANS] [ANS]"
